127.0.0.1 - - [17/May/2020:16:37:25 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/ HTTP/1.1" 200 7066
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:26 +0530] "GET /Perfect_One/css/registration.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/jquery-1.12.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/masonry.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:27 +0530] "GET /Perfect_One/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:28 +0530] "GET /Perfect_One/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:28 +0530] "GET /Perfect_One/fonts/Flaticon.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:28 +0530] "GET /Perfect_One/img/favicon.png HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:41 +0530] "POST /Perfect_One/LoginServlet HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:41 +0530] "GET /Perfect_One/css/panel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:45 +0530] "GET /Perfect_One/ListUsers.jsp HTTP/1.1" 200 15145
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:45 +0530] "GET /Perfect_One/css/scroll.css HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:45 +0530] "GET /Perfect_One/Employee.css HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [17/May/2020:16:37:45 +0530] "GET /Perfect_One/css/stylesheetstore.css HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/May/2020:16:38:08 +0530] "GET /Perfect_One/UserReport.jsp HTTP/1.1" 500 3328
0:0:0:0:0:0:0:1 - - [17/May/2020:16:38:08 +0530] "GET /Perfect_One/UserReport.jsp HTTP/1.1" 500 3328
0:0:0:0:0:0:0:1 - - [17/May/2020:16:38:09 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/May/2020:16:38:48 +0530] "POST /Perfect_One/GetIdUserServlet HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "POST /Perfect_One/UpdateUserServlet HTTP/1.1" 200 15465
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/Employee.css HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/css/scroll.css HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/css/stylesheetstore.css HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/Employee.css HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/css/scroll.css HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:01 +0530] "GET /Perfect_One/css/stylesheetstore.css HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:23 +0530] "GET /Perfect_One/AdminPanel.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:25 +0530] "GET /Perfect_One/LogoutServlet HTTP/1.1" 200 7130
0:0:0:0:0:0:0:1 - - [17/May/2020:16:39:26 +0530] "GET /Perfect_One/Register.jsp HTTP/1.1" 200 9464
0:0:0:0:0:0:0:1 - - [17/May/2020:16:40:32 +0530] "POST /Perfect_One/RegisterServlet HTTP/1.1" 200 7066
0:0:0:0:0:0:0:1 - - [17/May/2020:16:41:01 +0530] "GET /Perfect_One/Register.jsp HTTP/1.1" 200 9464
